================================================================================
Dispositivo de Treinamento: cuda (NVIDIA GeForce RTX 3050 Laptop GPU)
VRAM Total Disponível: 3767.6 MB
================================================================================
Configuração:
 - Épocas: 50000
 - Pesos: PDE=1.0, IC=20.0, Ext_BC=20.0, Holes_BC=40.0
 - Amostragem Total por Passo: 46,000 pontos
================================================================================
Colocação pronta:
  - PDE Interior + Camada Limite: 30,000
  - Condição Inicial (t=0):       6,000
  - Borda Externa (u=1):          4,000
  - Bordas dos Furos (u=0):       6,000
  - Conjunto Teste Independente:  50,000
[*] Encontrado checkpoint em ./paper2_heat_irregular_domain/models/pinn_heat_holes_checkpoint.pth. Carregando...
/home/warley/vault/research/eu/./paper2_heat_irregular_domain/src/train_heat_holes_2d.py:229: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_path, map_location=device)
[*] Retomando treinamento a partir da época 2001!

================================================================================
INICIANDO TREINAMENTO DA PINN (50,000 ÉPOCAS) NA GPU...
================================================================================
/home/warley/.venv/pinn-gpu/lib/python3.11/site-packages/torch/autograd/graph.py:825: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at ../aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[ 2340/50000] Loss: 3.3377e-01 | PDE: 1.0216e-01 | Holes: 3.7493e-04 | Ext: 7.9319e-03 | ms/ep: 105.7 | LR: 9.95e-04 | ETA: 84.0min
[ 2350/50000] Loss: 7.1789e-01 | PDE: 1.1674e-01 | Holes: 6.4563e-03 | Ext: 9.2792e-03 | ms/ep: 105.9 | LR: 9.95e-04 | ETA: 84.1min
[ 2360/50000] Loss: 5.4148e-01 | PDE: 1.0217e-01 | Holes: 3.1023e-03 | Ext: 1.3356e-02 | ms/ep: 105.8 | LR: 9.95e-04 | ETA: 84.0min
[ 2370/50000] Loss: 3.9898e-01 | PDE: 1.0133e-01 | Holes: 1.1951e-03 | Ext: 1.0309e-02 | ms/ep: 105.7 | LR: 9.95e-04 | ETA: 83.9min
[ 2380/50000] Loss: 3.3621e-01 | PDE: 9.9267e-02 | Holes: 4.7497e-04 | Ext: 8.3408e-03 | ms/ep: 106.0 | LR: 9.94e-04 | ETA: 84.1min
[ 2390/50000] Loss: 3.1920e-01 | PDE: 9.4982e-02 | Holes: 3.2586e-04 | Ext: 7.9008e-03 | ms/ep: 105.9 | LR: 9.94e-04 | ETA: 84.0min
[ 2400/50000] Loss: 3.2044e-01 | PDE: 9.5002e-02 | Holes: 4.0088e-04 | Ext: 7.6005e-03 | ms/ep: 105.7 | LR: 9.94e-04 | ETA: 83.9min
[ 2410/50000] Loss: 3.1368e-01 | PDE: 9.3251e-02 | Holes: 3.2390e-04 | Ext: 7.6713e-03 | ms/ep: 106.5 | LR: 9.94e-04 | ETA: 84.5min
[ 2420/50000] Loss: 3.1020e-01 | PDE: 9.1929e-02 | Holes: 2.7689e-04 | Ext: 7.8265e-03 | ms/ep: 105.8 | LR: 9.94e-04 | ETA: 83.9min
[ 2430/50000] Loss: 3.0751e-01 | PDE: 9.0735e-02 | Holes: 2.8128e-04 | Ext: 7.7367e-03 | ms/ep: 106.7 | LR: 9.94e-04 | ETA: 84.6min
[ 2440/50000] Loss: 3.0483e-01 | PDE: 8.9740e-02 | Holes: 2.8380e-04 | Ext: 7.6007e-03 | ms/ep: 106.6 | LR: 9.94e-04 | ETA: 84.5min
[ 2450/50000] Loss: 3.0222e-01 | PDE: 8.8601e-02 | Holes: 2.7442e-04 | Ext: 7.6040e-03 | ms/ep: 106.5 | LR: 9.94e-04 | ETA: 84.4min
[ 2460/50000] Loss: 2.9972e-01 | PDE: 8.7522e-02 | Holes: 2.7312e-04 | Ext: 7.5407e-03 | ms/ep: 111.1 | LR: 9.94e-04 | ETA: 88.1min
[ 2470/50000] Loss: 2.9727e-01 | PDE: 8.6500e-02 | Holes: 2.6890e-04 | Ext: 7.4963e-03 | ms/ep: 105.9 | LR: 9.94e-04 | ETA: 83.9min
