epoch,total_loss,pde_u_loss,pde_v_loss,pde_loss,ic_loss,bc_loss,learning_rate
17500,2.34919411e-04,6.14113087e-05,1.67901206e-04,2.29312514e-04,5.08756202e-08,1.01962928e-06,4.76796314e-05
17750,2.11078193e-04,5.89319570e-05,1.46747392e-04,2.05679346e-04,4.29277520e-08,9.93913318e-07,4.05952887e-05
18000,2.21468334e-04,6.23430024e-05,1.53780653e-04,2.16123648e-04,4.21800515e-08,9.84575763e-07,3.42270244e-05
18250,2.18296700e-04,5.99365994e-05,1.53017536e-04,2.12954139e-04,4.71630841e-08,9.74185582e-07,2.85846580e-05
18500,1.99585251e-04,5.48499265e-05,1.39483294e-04,1.94333217e-04,4.43913706e-08,9.61621254e-07,2.36768894e-05
18750,1.98055757e-04,5.46670053e-05,1.38259929e-04,1.92926935e-04,4.37391456e-08,9.38287542e-07,1.95112862e-05
19000,1.97015193e-04,5.41979607e-05,1.37783863e-04,1.91981817e-04,4.21916369e-08,9.22290894e-07,1.60942714e-05
19250,2.04535172e-04,5.62946661e-05,1.43300247e-04,1.99594913e-04,3.85450463e-08,9.10960580e-07,1.34311138e-05
19500,2.71688448e-04,7.20759490e-05,1.94615888e-04,2.66691844e-04,5.06685609e-08,8.97979589e-07,1.15259198e-05
19750,1.92985492e-04,5.33089260e-05,1.34810078e-04,1.88119011e-04,4.15867447e-08,8.90123488e-07,1.03816271e-05
20000,1.95746819e-04,5.42511334e-05,1.36701608e-04,1.90952735e-04,4.02157880e-08,8.78384583e-07,1.00000000e-05
